"image","exec_id","operation","timestamp","packet_size_bytes","service_owner","img_size_mb"
"fedora32",21,"CREATE",8,238764,"nova",289
"fedora32",21,"CREATE",9,404795,"keystone",289
"fedora32",21,"CREATE",10,402378,"designate",289
"fedora32",21,"CREATE",11,852279,NA,289
"fedora32",21,"CREATE",12,880611,"designate",289
"fedora32",21,"CREATE",13,404423,"neutron",289
"fedora32",21,"CREATE",14,436885,NA,289
"fedora32",21,"CREATE",15,452151,"designate",289
"fedora32",21,"CREATE",16,406065,"designate",289
"fedora32",21,"CREATE",17,264912,NA,289
"fedora32",21,"CREATE",18,393312,"designate",289
"fedora32",21,"CREATE",19,306238,"heat",289
"fedora32",21,"CREATE",20,418679,"designate",289
"fedora32",21,"CREATE",21,395897,"designate",289
"fedora32",21,"CREATE",22,417552,"neutron",289
"fedora32",21,"CREATE",23,326542,"nova",289
"fedora32",21,"CREATE",24,437177,"nova",289
"fedora32",21,"CREATE",25,815361,"designate",289
"fedora32",21,"CREATE",26,998146,"designate",289
"fedora32",21,"CREATE",27,45220,NA,289
"fedora32",21,"RESUME",155,44559,"nova",289
"fedora32",21,"RESUME",156,580676,"designate",289
"fedora32",21,"RESUME",157,389526,"neutron",289
"fedora32",21,"RESUME",158,104949,NA,289
"fedora32",21,"SHELVE",285,426876,"designate",289
"fedora32",21,"SHELVE",286,978847,"designate",289
"fedora32",21,"SHELVE",287,269625,"nova",289
"fedora32",21,"SHELVE",288,790638,"designate",289
"fedora32",21,"SHELVE",289,289664,"heat",289
"fedora32",21,"SHELVE",290,563058,"designate",289
"fedora32",21,"SHELVE",291,271544,"designate",289
"fedora32",21,"SHELVE",292,399465,"designate",289
"fedora32",21,"SHELVE",293,332366,"nova",289
"fedora32",21,"SHELVE",294,407156,NA,289
"fedora32",21,"SHELVE",295,481740,"designate",289
"fedora32",21,"SHELVE",296,262388,NA,289
"fedora32",21,"SHELVE",297,396753,"neutron",289
"fedora32",21,"SHELVE",298,266775,"neutron",289
"fedora32",21,"SHELVE",299,515760,"nova",289
"fedora32",21,"SHELVE",300,258256,NA,289
"fedora32",21,"SHELVE",301,419686,NA,289
"fedora32",21,"SHELVE",302,247243,NA,289
"fedora32",21,"SHELVE",303,486549,"designate",289
"fedora32",21,"SHELVE",304,610698,NA,289
"fedora32",21,"SHELVE",305,463958,"designate",289
"fedora32",21,"SHELVE",306,408033,"neutron",289
"fedora32",21,"SHELVE",307,252540,"nova",289
"fedora32",21,"SHELVE",308,388252,"glance",289
"fedora32",21,"SHELVE",309,259100,"neutron",289
"fedora32",21,"SHELVE",310,395908,"designate",289
"fedora32",21,"SHELVE",311,254229,"neutron",289
"fedora32",21,"SHELVE",312,389353,"glance",289
"fedora32",21,"SHELVE",313,315107,NA,289
"fedora32",21,"SHELVE",314,44942127,"designate",289
"fedora32",21,"SHELVE",315,109912413,"glance",289
"fedora32",21,"SHELVE",316,119624552,"glance",289
